Word,Definition
abandon,forsake; leave behind
abase,cause to feel shame
abash,cause to be embarrassed
abate,become less in amount or intensity
abbreviate,shorten
abdicate,"give up power, duties, or obligations"
aberrant,markedly different from an accepted norm
abet,"assist or encourage, usually in some wrongdoing"
abeyance,temporary cessation or suspension
abhor,feel hatred or disgust toward
abiding,unceasing
abject,of the most contemptible kind
abjure,formally reject or disavow a formerly held belief
abnegate,deny or renounce
abominate,find repugnant
aboveboard,without concealment or deception; honest
abrade,rub hard or scrub
abridge,"lessen, diminish, or curtail"
abrogate,revoke formally
abscission,the act of cutting something off
abscond,"run away, often taking something or somebody along"
absolute,perfect or complete or pure
absolve,grant remission of a sin to
abstain,"refrain from doing, consuming, or partaking in something"
abstemious,marked by temperance in indulgence
abstract,existing only in the mind
abstruse,difficult to understand
absurd,inconsistent with reason or logic or common sense
abundant,present in great quantity
abuse,cruel or inhumane treatment
abut,lie adjacent to another or share a boundary
abysmal,exceptionally bad or displeasing
accede,yield to another's wish or opinion
accelerate,move faster
accessible,capable of being reached
accessory,a supplementary component that improves capability
accidental,happening by chance or unexpectedly or unintentionally
acclimate,get used to a certain environment
accolade,a tangible symbol signifying approval or distinction
accommodate,have room for; hold without crowding
accost,approach and speak to someone aggressively or insistently
accumulate,get or gather together
acerbic,sour or bitter in taste
achromatic,having no hue
acme,the highest point of something
acquiesce,agree or express agreement
acquisition,something gained
acre,a unit of area used in English-speaking countries
acrid,"strong and sharp, as a taste or smell"
acrimonious,marked by strong resentment or cynicism
acumen,shrewdness shown by keen insight
acute,ending in a sharp point
adamant,very hard native crystalline carbon valued as a gem
adapt,"make fit for, or change to suit a new purpose"
addendum,textual matter that is appended to the end of a publication
addict,to cause to become dependent
adhere,stick to firmly
adjourn,close at the end of a session
adjunct,something added to another thing but not essential to it
admonish,scold or reprimand; take to task
adore,love intensely
adulate,flatter in an obsequious manner
adulterate,make impure by adding a foreign or inferior substance
adumbrate,describe roughly or give the main points or summary of
adventitious,associated by chance and not an integral part
adversary,someone who offers opposition
advert,a public promotion of some product or service
