word,sentence1,sentence2,sentence3,sentence4,sentence5,option_result
arrears,"The tenant fell behind on rent payments, resulting in arrears that accumulated over several months","Despite multiple reminders and warnings from the landlord, the arrears continued to grow",The landlord finally issued a notice to the tenant demanding payment of the arrears within a specified timeframe,Failure to settle the arrears would lead to legal action being taken against the tenant,The tenant scrambled to find a way to clear the arrears and avoid potential eviction from the property.,"['pontificate', 'chortle', 'arrears', 'clone', 'brusque', 2]"
intimate,Intimate relationships require a strong emotional connection founded on trust and communication,Sharing intimate moments with a partner can deepen the bond between two people,Being intimate is not just about physical closeness but also about feeling truly connected on a mental and emotional level,Some people find it difficult to be vulnerable and intimate due to past experiences or insecurities,It's important to create a safe environment where both partners feel comfortable being intimate with each other.,"['intimate', 'corporeal', 'oxymoron', 'phlegmatic', 'benediction,', 0]"
meander,"As the river continued to meander through the meadows, the sunlight danced on its rippling surface","The hiker decided to meander along the winding trail, taking in the beauty of the surrounding forest",The gentle breeze caused the tall grass to meander back and forth in a mesmerizing display,"Lost in thought, she allowed her mind to meander through memories of her childhood","The artist's brush strokes seemed to meander effortlessly across the canvas, creating a masterpiece of swirling colors.","['quasi', 'eclipse', 'meander', 'vivacious', 'rife', 2]"
ostracise,"The high school clique decided to ostracise the new transfer student, leaving her feeling lonely and isolated in a sea of unfamiliar faces","Despite her efforts to fit in and make friends, she was continually ostracised by her peers, who seemed determined to exclude her from their social circle",The act of ostracising someone based on their differences or perceived shortcomings only serves to perpetuate feelings of alienation and division among individuals,It is important for us to recognize the harmful effects of ostracising others and instead strive to create inclusive and welcoming environments for everyone to thrive in,"By fostering a culture of acceptance and understanding, we can transcend the tendency to ostracise those who may be different from us and instead embrace diversity as a source of strength and enrichment.","['equestrian', 'ostracise', 'ostracise', 'interlude', 'zeitgeist', 1]"
idiom,An idiom is a phrase or expression that has a figurative meaning different from its literal interpretation,It can be challenging for non-native speakers to understand idioms because they often don't make sense when translated directly,"English is full of idioms that add color and depth to the language, such as ""kick the bucket"" or ""raining cats and dogs."" Learning idioms is an important part of mastering a language and allows for more natural and nuanced communication","As idioms are a reflection of cultural nuances, they can vary greatly from one language or region to another.",,"['arrears', 'explicate', 'iridescent', 'rife', 'idiom', 4]"
quasi,His quasi-apologetic tone suggested that he wasn't entirely remorseful for his actions,"She maintained a quasi-professional relationship with her colleague, blending personal anecdotes with work-related discussions","The garden was filled with a quasi-mystical atmosphere, with its overgrown vines and hidden pathways","His explanations were always filled with quasi-philosophical musings, leaving his audience both intrigued and confused","The artist's paintings were a unique blend of realism and abstraction, creating a quasi-surreal experience for viewers.","['churl', 'fathom', 'quasi', 'contumely', 'herald,', 2]"
render,The artist used vibrant colors to render a beautiful sunset on the canvas,The software was unable to render the high-resolution image due to a lack of processing power,The architect's design was digitally rendered to showcase the intricate details of the building,The intense heat from the fire caused the building to render structurally unsound,"The chef's skillful knife work helped him render the vegetables into delicate, uniform slices for the dish.","['compile', 'expiate', 'impasse', 'redress', 'render', 4]"
clone,Cloning technology has raised ethical concerns about creating genetically identical clones of animals,"Scientists have successfully cloned various animals, including sheep and cows",The process of cloning involves creating a genetically identical copy of an organism,Some researchers are exploring the possibility of using cloning techniques to preserve endangered species,"Despite advancements in cloning technology, there are still many challenges and controversies surrounding its use.","['corporeal', 'explicate', 'clone', 'zeitgeist', 'converse', 2]"
invoke,"In his speech, the speaker tried to invoke a sense of unity among the audience by emphasizing the importance of working together","The artist's powerful lyrics invoke a range of emotions in listeners, from joy to sorrow",The religious leader's prayers were believed to invoke blessings and protection upon the community,The ancient ritual was performed to invoke the spirits of the ancestors for guidance and protection,"As the sun set over the horizon, the calming sounds of nature seemed to invoke a sense of peace and tranquility in the surroundings.","['invoke', 'interlude', 'redress', 'insouciant', 'phlegmatic', 0]"
double,She decided to order a double shot of espresso to help her stay awake during the meeting,"As the clock struck midnight, the old grandfather clock chimed twice, the sound echoing through the empty house","In her excitement, she did a double take when she saw her favorite actor walking down the street",The recipe called for a double serving of chocolate to make the dessert extra decadent,The magician performed a trick where he made a single coin double in size right before our eyes.,"['double', 'quasi', 'ostracise', 'propagate', 'armistice', 0]"
depose,The king was deposed from his throne after a rebellion erupted in the kingdom,The deposition of the corrupt officials was a significant step towards restoring order in the government,The witnesses were called to testify in the depositions for the ongoing court case,The lawyer was preparing to depose the key suspect in the murder investigation,The decision to depose the CEO of the company was met with mixed reactions from the shareholders.,"['benediction,', 'suffice', 'clone', 'depose', 'adventure', 3]"
