word,sentence1,sentence2,sentence3,sentence4,sentence5,option_result
wither,The once vibrant flowers in the garden slowly began to wither under the scorching summer sun,"The leaves on the trees started to wither and curl as autumn approached, signaling the changing of seasons","The farmer's crops began to wither due to the lack of rainfall, causing concern for the upcoming harvest","The old wooden fence surrounding the property started to wither away, showing signs of decay and neglect","As the days passed without proper care, the neglected house began to wither into a state of disrepair, abandoned and forgotten.","['jog', 'underscore', 'protocol', 'wither', 'traverse', 3]"
poseur,"In social settings, the poseur always sought to impress others with his flashy attire and pretentious demeanor","Despite his attempts to appear sophisticated and cultured, many saw through his facade and recognized him as nothing more than a poseur",His exaggerated gestures and affected accent only served to further highlight his poseur-like behavior,The poseur's constant need for attention and admiration made it difficult for him to form genuine relationships with those around him,"Eventually, his reputation as a poseur caught up with him, leading to a sense of isolation and loneliness.","['overbearing', 'ally', 'jovial', 'mire', 'poseur', 4]"
demur,"Though initially hesitant to demur, she ultimately decided to voice her concerns during the meeting","He chose to demur politely when asked to lead the project, citing his lack of experience in that particular area","Despite her reservations, she couldn't help but demur when offered the opportunity to speak at the conference",The team members were taken aback by his unexpected demurral to participate in the team-building exercise,"As the debate grew heated, she demurred from further engaging in the argument to maintain professionalism.","['demur', 'stanza', 'steadfast', 'abdicate', 'melody', 0]"
foil,The chef used aluminum foil to wrap the leftovers before placing them in the refrigerator,She carefully crimped the edges of the foil to ensure a tight seal,The foil prevented any leaks or spills from contaminating other food items in the fridge,"Once reheating the leftovers, the chef peeled back the foil to reveal the steaming hot meal inside",The foil also helped in keeping the food moist and flavorful.,"['foil', 'invigorate', 'headlong', 'meander', 'antidote', 0]"
resonant,"His resonant voice echoed through the hall, captivating everyone in the audience","The sound of the piano filled the room with a deep, resonant melody that stirred emotions within the listeners",The resonant harmonies of the choir created a powerful and moving performance,"As the sun set, the resonant hum of cicadas in the distance provided a soothing backdrop to the evening",The author's words had a resonant quality that lingered in the minds of readers long after they had finished the book.,"['legion', 'jovial', 'resonant', 'imprecise', 'abdicate', 2]"
summon,"Sure, here is a paragraph with the word 'summon' used in five different sentences: The old wizard waved his wand and muttered a spell to summon a powerful dragon to aid him in battle",The queen used a magical amulet to summon a protective barrier around her kingdom,The villagers gathered at the ancient stone circle to summon the spirits of their ancestors for guidance,The sorcerer's incantation was able to summon a thunderstorm to bring much-needed rain to the drought-stricken land,The sacred ritual involved the participants chanting in unison to summon a benevolent deity for blessings and protection.,"['summon', 'vitiate', 'sedentary', 'ally', 'content', 0]"
delicacy,"In many cultures, sampling various delicacies is considered a significant part of dining etiquette",The delicate flavors of a well-prepared dish can evoke a sense of appreciation and admiration for the culinary arts,Some people have a refined palate that allows them to discern the nuances of different delicacies,Serving a delicacy at a special occasion can elevate the dining experience and create lasting memories for guests,Chefs often take pride in their ability to create exquisite delicacies that showcase their skills and creativity.,"['wan', 'imprecise', 'doyen', 'delicacy', 'offbeat', 3]"
prosperous,"The small town was once a prosperous community, with thriving businesses lining the main street and well-maintained homes dotting the tree-lined neighborhood","Despite facing economic challenges in recent years, the residents remained hopeful for a return to prosperous times, working together to revitalize the local economy",The town's leaders implemented new initiatives and programs to attract investors and support local entrepreneurs in their efforts to bring back prosperity,"Slowly but steadily, the town began to see signs of a prosperous future ahead, with new shops opening up and a renewed sense of optimism spreading among the residents","As the town continued to grow and flourish, it was evident that their collective efforts were leading them towards a bright and prosperous tomorrow.","['repeal', 'abuse', 'prosperous', 'interminable', 'underscore', 2]"
panegyric,"She delivered a heartfelt panegyric at his memorial service, praising his kindness and generosity in touching the lives of many",The panegyric speech was filled with anecdotes and memories that highlighted his positive impact on those around him,The attendees were moved by the eloquent panegyric that captured the essence of his character and spirit,"The heartfelt panegyric brought tears to the eyes of many, showcasing the deep love and respect felt for the departed soul",The panegyric served as a fitting tribute to a life well-lived and a legacy that would endure in the hearts of all who knew him.,"['foil', 'transcend', 'invigorate', 'lariat', 'panegyric', 4]"
carve,"Sure, here is a paragraph with the word 'carve' in five different sentences: The skilled artist used a sharp chisel to meticulously carve intricate designs into the wooden sculpture","As the sun set, the silhouette of the mountains appeared to be carved against the colorful sky",The chef deftly wielded a knife to carve a beautifully presented watermelon into a work of art,Ancient civilizations used to carve symbols and hieroglyphics into stone tablets for communication and record-keeping,"The wind and rain had slowly begun to carve away at the edges of the ancient ruins, erasing history bit by bit.","['carve', 'overbearing', 'transcend', 'augur', 'exodus', 0]"
