word,sentence1,sentence2,sentence3,sentence4,sentence5,option_result
substantive,"In their debate, both candidates presented substantial and substantive arguments to support their policies",The professor praised the student's essay for its deep analysis and substantive research findings,The new CEO promised to focus on making substantive changes to improve the company's performance,Negotiations between the two parties were stalled until they could reach a substantive agreement on key terms,The court ruling was based on substantive evidence provided by the prosecution.,"['amenable', 'perjury', 'dissipate', 'choleric', 'substantive', 4]"
pertinent,It is pertinent to address all pertinent issues in a timely manner to ensure the success of the project,The team must focus on gathering all pertinent information before making a decision,Asking pertinent questions during meetings will lead to more productive discussions,It is crucial to present only pertinent data to avoid overwhelming the audience,Keeping the discussion pertinent to the main topic will help in achieving the intended outcomes.,"['surrogate', 'abject', 'pertinent', 'reciprocal,', 'abdicate', 2]"
surrogate,"In some cases, couples may choose to use a surrogate mother to carry their child",The surrogate will undergo medical procedures to implant the embryo and carry the pregnancy to term,The surrogate's role is to provide a nurturing environment for the developing fetus,Surrogacy agreements typically outline the responsibilities and expectations of both the intended parents and the surrogate,It is important to ensure that the surrogate's rights and well-being are protected throughout the process.,"['sordid', 'averse', 'fortuitous', 'increment', 'surrogate', 4]"
cognisant,I am cognisant of the fact that knowledge is the key to success in any endeavor,It is important to be cognisant of one's surroundings to stay safe and alert,Being cognisant of different perspectives can enhance empathy and understanding in relationships,Scientists must be cognisant of potential biases in their research to ensure objectivity,Employers should be cognisant of the needs and concerns of their employees for a positive work environment.,"['choleric', 'cognisant', 'fortuitous', 'assuage', 'concord,', 1]"
"curtail,","To curb overspending, the company decided to curtail its budget for non-essential expenses significantly",The new regulations were put in place to curtail the amount of waste being produced by the manufacturing plant,The government implemented measures to curtail the spread of the infectious disease throughout the country,"In order to maintain a healthy work-life balance, it's important to curtail the number of hours spent working overtime","By monitoring electricity usage, homeowners can curtail their energy consumption and reduce their utility bills.","['curtail,', 'esoteric,', 'poignant', 'sporadic', 'cognisant', 0]"
virulent,"The virulent disease spread rapidly throughout the community, causing widespread panic among the residents","Health officials warned of the highly contagious and virulent nature of the virus, urging everyone to take precautions to prevent further transmission",The medical team worked tirelessly to contain the virulent outbreak and provide treatment to those affected,Scientists studied the genetic makeup of the virulent strain to develop a targeted vaccine,"Despite efforts to control the virulent pathogen, it continued to pose a serious threat to public health.","['virulent', 'foible,', 'bane,', 'placate', 'reiterate', 0]"
dissipate,"The dense fog began to dissipate as the sun rose higher in the sky, casting a warm glow over the tranquil meadow",The tension in the room seemed to dissipate as the mediator skillfully guided the conflicting parties towards a resolution,"With each deep breath, she felt the stress dissipate from her body, leaving her feeling more relaxed and at ease",The angry voices in the argument started to dissipate as they realized the futility of their heated exchange,"As the storm clouds began to dissipate, a rainbow emerged in the sky, bringing a sense of hope and renewal to those watching.","['disparage', 'extol', 'sordid', 'dogmatic', 'dissipate', 4]"
delineate,"The artist meticulously delineated each intricate detail in the painting, capturing the essence of the subject with precision","The boundaries between reality and imagination were skillfully delineated in the novel, blurring the lines of perception for the readers","The architect's blueprint meticulously delineated the structural layout of the building, ensuring every aspect was thoroughly planned","The legal document clearly delineated the rights and responsibilities of each party involved, leaving no room for misinterpretation","The professor used a diagram to delineate the different stages of the research process, making it easier for students to understand the methodology.","['choleric', 'delineate', 'dormant', 'garrulous', 'reiterate', 1]"
colloquial,"In everyday conversations, people often use colloquial language to convey their thoughts and emotions in a casual manner","Colloquial expressions like ""cool beans"" or ""hangry"" are commonly heard among friends and family members","It's important to be mindful of when to use colloquial language, especially in formal settings such as work meetings or interviews","Despite its informality, colloquial speech adds a sense of familiarity and authenticity to interactions",Embracing colloquialisms can help build rapport and create a comfortable atmosphere in social settings.,"['dissipate', 'increment', 'augment', 'poignant', 'colloquial', 4]"
manifest,"The artist's vision began to manifest in the form of a beautiful painting, capturing the essence of nature","With each brushstroke, the intricate details slowly manifested on the canvas, creating a masterpiece","As the sun rose over the horizon, the colors of the sky began to manifest in a breathtaking display of beauty","The written words on the page seemed to manifest a deep emotional response from the reader, eliciting a sense of nostalgia","Through meditation and visualization, one can manifest their desires and turn them into reality.","['consecrate', 'secular', 'minuscule', 'choleric', 'manifest', 4]"
